 Proof summary for theory gnsl_init
    p_TCC1...............................proved - complete   [shostak]( 0.04 s)
    hu_TCC1..............................proved - complete   [shostak]( 0.06 s)
    Nonces_TCC1..........................proved - complete   [shostak]( 0.04 s)
    n_init_TCC1..........................proved - complete   [shostak]( 0.02 s)
    n_prop...............................proved - complete   [shostak]( 0.10 s)
    n_orig...............................proved - complete   [shostak]( 0.04 s)
    E_TCC1...............................proved - complete   [shostak]( 0.09 s)
    UROLE_INIT_TCC1......................proved - complete   [shostak]( 0.03 s)
    UROLE_INIT_TCC2......................proved - complete   [shostak]( 0.10 s)
    UROLE_INIT_TCC3......................proved - complete   [shostak]( 0.04 s)
    UROLE_INIT_TCC4......................proved - incomplete [shostak]( 0.05 s)
    UROLE_INIT_TCC5......................proved - complete   [shostak]( 0.04 s)
    UROLE_INIT_TCC6......................proved - complete   [shostak]( 0.03 s)
    UROLE_INIT_TCC7......................proved - complete   [shostak]( 0.06 s)
    UROLE_INIT_TCC8......................proved - complete   [shostak]( 0.03 s)
    UROLE_INIT_TCC9......................proved - incomplete [shostak]( 0.05 s)
    UROLE_INIT_TCC10.....................proved - complete   [shostak]( 0.04 s)
    UROLE_INIT_TCC11.....................proved - complete   [shostak]( 0.02 s)
    UROLE_LAST_TCC1......................proved - complete   [shostak]( 0.01 s)
    UROLE_LAST_TCC2......................proved - complete   [shostak]( 0.02 s)
    UROLE_LAST_TCC3......................proved - incomplete [shostak]( 0.03 s)
    UROLE_LAST_TCC4......................proved - incomplete [shostak]( 0.03 s)
    UROLE_LAST_TCC5......................proved - complete   [shostak]( 0.04 s)
    LastMessage_TCC1.....................proved - complete   [shostak]( 0.02 s)
    LastMessage_TCC2.....................proved - incomplete [shostak]( 0.06 s)
    LastMessage_TCC3.....................proved - incomplete [shostak]( 0.05 s)
    UROLE_MIDDLE_TCC1....................proved - complete   [shostak]( 0.03 s)
    UROLE_MIDDLE_TCC2....................proved - incomplete [shostak]( 0.05 s)
    UROLE_MIDDLE_TCC3....................proved - incomplete [shostak]( 0.05 s)
    USER_TCC1............................proved - complete   [shostak]( 0.02 s)
    USER_TCC2............................proved - complete   [shostak]( 0.05 s)
    hu_list_exists_TCC1..................proved - complete   [shostak]( 0.03 s)
    hu_list_exists.......................proved - complete   [shostak]( 0.10 s)
    hu_list_TCC1.........................proved - complete   [shostak]( 0.01 s)
    cons_hu_list.........................proved - complete   [shostak]( 0.02 s)
    R_last_TCC1..........................proved - complete   [shostak]( 0.04 s)
    rho_middle_TCC1......................proved - complete   [shostak]( 0.08 s)
    rho_middle_TCC2......................proved - complete   [shostak]( 0.08 s)
    rho_middle_TCC3......................proved - complete   [shostak]( 0.07 s)
    rho_middle_TCC4......................proved - complete   [shostak]( 0.02 s)
    rho_middle_TCC5......................proved - complete   [shostak]( 0.12 s)
    rho_last_TCC1........................proved - complete   [shostak]( 0.06 s)
    rho_last_TCC2........................proved - complete   [shostak]( 0.06 s)
    rho_last_TCC3........................proved - complete   [shostak]( 0.05 s)
    rho_last_TCC4........................proved - complete   [shostak]( 0.10 s)
    restrictmiddle_init..................proved - incomplete [shostak]( 3.93 s)
    restrictmiddle_middle................proved - incomplete [shostak](13.24 s)
    restrictmiddle_last..................proved - incomplete [shostak]( 1.84 s)
    authentication_middle................proved - incomplete [shostak]( 2.62 s)
    restrictlast_init....................proved - incomplete [shostak]( 2.62 s)
    restrictlast_middle..................proved - incomplete [shostak]( 7.56 s)
    restrictlast_last....................proved - incomplete [shostak]( 4.81 s)
    authentication_last..................proved - incomplete [shostak]( 2.40 s)
    Theory totals: 53 formulas, 53 attempted, 53 succeeded (41.24 s)

 Proof summary for theory gnsl_middle
    p_TCC1...............................proved - complete   [shostak]( 0.02 s)
    mid_TCC1.............................proved - complete   [shostak]( 0.01 s)
    mid_TCC2.............................proved - complete   [shostak]( 0.03 s)
    hu_TCC1..............................proved - complete   [shostak]( 0.03 s)
    IRpart_TCC1..........................proved - complete   [shostak]( 0.01 s)
    Nonces_TCC1..........................proved - complete   [shostak]( 0.04 s)
    n_mid_TCC1...........................proved - complete   [shostak]( 0.02 s)
    n_prop...............................proved - complete   [shostak]( 0.09 s)
    n_orig...............................proved - complete   [shostak]( 0.05 s)
    E_TCC1...............................proved - complete   [shostak]( 0.10 s)
    select_right_nonce1_TCC1.............proved - complete   [shostak]( 0.02 s)
    select_right_nonce1_TCC2.............proved - complete   [shostak]( 0.14 s)
    select_right_nonce1..................proved - complete   [shostak]( 0.45 s)
    select_right_nonce2_TCC1.............proved - complete   [shostak]( 0.03 s)
    select_right_nonce2_TCC2.............proved - complete   [shostak]( 0.16 s)
    select_right_nonce2..................proved - complete   [shostak]( 0.51 s)
    select_right_nonce3_TCC1.............proved - complete   [shostak]( 0.03 s)
    select_right_nonce3_TCC2.............proved - complete   [shostak]( 0.11 s)
    select_right_nonce3..................proved - complete   [shostak]( 0.31 s)
    UROLE_INIT_TCC1......................proved - incomplete [shostak]( 0.03 s)
    UROLE_INIT_TCC2......................proved - complete   [shostak]( 0.04 s)
    UROLE_INIT_TCC3......................proved - complete   [shostak]( 0.05 s)
    UROLE_INIT_TCC4......................proved - complete   [shostak]( 0.44 s)
    UROLE_INIT_TCC5......................proved - complete   [shostak]( 0.58 s)
    UROLE_LAST_TCC1......................proved - complete   [shostak]( 0.02 s)
    UROLE_LAST_TCC2......................proved - complete   [shostak]( 0.03 s)
    UROLE_LAST_TCC3......................proved - complete   [shostak]( 0.28 s)
    UROLE_LAST_TCC4......................proved - complete   [shostak]( 0.04 s)
    LastMessage_TCC1.....................proved - complete   [shostak]( 0.01 s)
    LastMessage_TCC2.....................proved - incomplete [shostak]( 0.05 s)
    LastMessage_TCC3.....................proved - incomplete [shostak]( 0.05 s)
    UROLE_MIDDLE_TCC1....................proved - complete   [shostak]( 0.13 s)
    UROLE_MIDDLE_TCC2....................proved - complete   [shostak]( 0.09 s)
    UROLE_MIDDLE_TCC3....................proved - complete   [shostak]( 0.04 s)
    UROLE_MIDDLE_TCC4....................proved - complete   [shostak]( 0.18 s)
    UROLE_MIDDLE_TCC5....................proved - complete   [shostak]( 0.16 s)
    UROLE_MIDDLE_TCC6....................proved - complete   [shostak]( 0.10 s)
    UROLE_MIDDLE_TCC7....................proved - incomplete [shostak]( 0.11 s)
    UROLE_MIDDLE_TCC8....................proved - complete   [shostak]( 0.03 s)
    UROLE_MIDDLE_TCC9....................proved - complete   [shostak]( 0.07 s)
    UROLE_MIDDLE_TCC10...................proved - complete   [shostak]( 0.09 s)
    UROLE_MIDDLE_TCC11...................proved - complete   [shostak]( 0.22 s)
    UROLE_MIDDLE_TCC12...................proved - complete   [shostak]( 0.05 s)
    UROLE_MIDDLE_TCC13...................proved - complete   [shostak]( 0.10 s)
    UROLE_MIDDLE_TCC14...................proved - incomplete [shostak]( 0.19 s)
    UROLE_MIDDLE_TCC15...................proved - complete   [shostak]( 0.36 s)
    UROLE_MIDDLE_TCC16...................proved - complete   [shostak]( 0.11 s)
    UROLE_MIDDLE_TCC17...................proved - complete   [shostak]( 0.22 s)
    UROLE_MIDDLE_TCC18...................proved - incomplete [shostak]( 0.11 s)
    USER_TCC1............................proved - complete   [shostak]( 0.02 s)
    USER_TCC2............................proved - complete   [shostak]( 0.04 s)
    hu_list_exists_TCC1..................proved - complete   [shostak]( 0.03 s)
    hu_list_exists.......................proved - complete   [shostak]( 0.10 s)
